left_img,left_msi,right_img,right_msi,gt_disp
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA389_028_025_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA389_028_025_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA389_028_025_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA389_028_025_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA389_028_025_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_079_022_015_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_079_022_015_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_079_022_015_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_079_022_015_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_079_022_015_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA203_041_036_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA203_041_036_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA203_041_036_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA203_041_036_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA203_041_036_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA355_043_004_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA355_043_004_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA355_043_004_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA355_043_004_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA355_043_004_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_467_008_007_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_467_008_007_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_467_008_007_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_467_008_007_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_467_008_007_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_204_002_003_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_204_002_003_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_204_002_003_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_204_002_003_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_204_002_003_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_005_003_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_005_003_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_005_003_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_005_003_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_005_003_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_264_009_011_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_264_009_011_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_264_009_011_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_264_009_011_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_264_009_011_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA176_027_023_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA176_027_023_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA176_027_023_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA176_027_023_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/OMA176_027_023_LEFT_DSP.tif
/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_001_004_LEFT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_001_004_LEFT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_001_004_RIGHT_RGB.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_001_004_RIGHT_MSI.tif,/home4/datasets/jack/Documents_home2/DFC2019_track2_trainval/Track_Train/JAX_505_001_004_LEFT_DSP.tif
