left_img,right_img,gt_disp
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967834087639600.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967834087637360.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967834087639600.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967815106638400.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967815106638120.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967815106638400.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967820701038560.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967820701037432.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967820701038560.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967837084639864.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967837084639144.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967837084639864.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967832489238640.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967834487237552.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967832489238640.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967837684039272.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967837684039624.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967837684039272.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967822699039040.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967822699039040.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967822699039040.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967817304438320.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967817304437856.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967817304438320.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967830691038944.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967830691038416.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967830691038944.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967833088639200.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967833088639520.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967833088639200.png
/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect/stereo_front_left_rect_315967828293436672.jpg,/home4/datasets/jack/Argoverse/rectified_stereo_images_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_right_rect/stereo_front_right_rect_315967834487237552.jpg,/home4/datasets/jack/Argoverse/disparity_maps_v1.1/train/53037376-5303-5303-5303-553038557184/stereo_front_left_rect_disparity/disparity_315967828293436672.png
